County_FIPS,SVI_county,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
5117,0.578431373,0.012625163,0.099303634,0.02503617,0.154846345,3.448275862,13.79310345,51.72413793,100,100,100,100,100,10.34482759,31.03448276,79.31034483,100,100,100,100,100,0,0,44.82758621,100,100,100,100,100,10.34482759,31.03448276,79.31034483,100,100,100,100,100
5119,0.18627451,0,0,0.000156831,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5121,0.12745098,0.00043535,0.006831026,0.000561064,0.048342647,0,0,100,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
5123,0.078431373,0.00043535,0.01668643,4.52E-05,0.191893939,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
5125,0.147058824,0.007836308,0.023140622,0.004269407,0.141929146,0,11.11111111,55.55555556,100,100,100,100,100,5.555555556,33.33333333,72.22222222,100,100,100,100,100,0,0,0,100,100,100,100,100,5.555555556,33.33333333,72.22222222,100,100,100,100,100
5127,0.882352941,0.003047453,0.421983405,0.003266262,0.431360814,0,28.57142857,85.71428571,100,100,100,100,100,28.57142857,57.14285714,100,100,100,100,100,100,0,0,0,100,100,100,100,100,28.57142857,57.14285714,100,100,100,100,100,100
5129,0.450980392,0.00043535,0.045598232,0.001095692,0.091196463,0,0,100,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
5131,0.803921569,0.003047453,0.3797948,0.00300875,0.426111239,0,57.14285714,57.14285714,100,100,100,100,100,57.14285714,57.14285714,71.42857143,100,100,100,100,100,0,0,0,100,100,100,100,100,57.14285714,57.14285714,71.42857143,100,100,100,100,100
5133,0.088235294,0.00043535,0.00729405,0.000224594,0.074561404,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
5135,0.568627451,0.00043535,0.040357335,0.002007499,0.064015083,0,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100
5137,0.754901961,0.001306051,0.188949275,0.002273539,0.225757576,0,0,100,100,100,100,100,100,0,33.33333333,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,33.33333333,100,100,100,100,100,100
5139,0.460784314,0.004353505,0.095606116,0.005652174,0.187143887,0,0,60,100,100,100,100,100,0,40,70,100,100,100,100,100,0,0,0,100,100,100,100,100,0,40,70,100,100,100,100,100
5141,0.31372549,0.107531563,0.131660306,0.04735618,0.378523381,2.834008097,15.78947368,51.41700405,100,100,100,100,100,12.14574899,30.36437247,65.58704453,100,100,100,100,100,0,0,100,100,100,100,100,100,12.14574899,30.36437247,65.58704453,100,100,100,100,100
5143,0.656862745,0.007400958,0.194156187,0.009649741,0.266602525,0,17.64705882,94.11764706,100,100,100,100,100,11.76470588,82.35294118,94.11764706,100,100,100,100,100,0,0,0,100,100,100,100,100,11.76470588,82.35294118,94.11764706,100,100,100,100,100
5145,0.029411765,0.00043535,0.000886616,0.000201053,0.027189548,0,0,100,100,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100,100,100,100,100
