County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_0,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_0,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_0,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_0,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_0,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
1051,0.291044776,330,146,0.090777262,0.03800738,0.070255213,0.046906838,0.173917253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.904109589,19.8630137,45.20547945,45.89041096,45.89041096,45.89041096,45.89041096,0,0,0,0,0,0,0,0,0,0,6.164383562,13.69863014,45.20547945,45.89041096,45.89041096,45.89041096,45.89041096,45.89041096
1055,0.328358209,581,243,0.163573086,0.07704182,0.106101505,0.068960894,0.258825435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28806584,10.28806584,14.40329218,0,0,0,0,0,0,0,0,0,0,0,0,4.526748971,10.28806584,10.69958848,13.99176955,17.69547325,23.04526749
1067,0.23880597,60,27,0.012470998,0.004335793,0.049379776,0.004495566,0.140574512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,0.432835821,383,177,0.106148492,0.066740467,0.100272595,0.093622678,0.158593445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90960452,12.99435028,13.55932203,13.55932203,13.55932203,29.37853107,36.15819209,42.37288136,0,0,0,0,0,0,0,0,0,0,7.90960452,12.99435028,13.55932203,13.55932203,13.55932203,29.37853107,29.94350282,36.72316384
1071,0.149253731,276,106,0.075116009,0.015405904,0.039015131,0.012492907,0.209672107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37735849,11.32075472,23.58490566,31.13207547,0,0,0,0,0,0,0,0,0,0,0,0,10.37735849,20.75471698,31.13207547,32.0754717,32.0754717,32.0754717
1077,0.119402985,273,118,0.07424594,0.011863469,0.017453339,0.019608895,0.094982522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.627118644,7.627118644,7.627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.627118644,7.627118644,7.627118644,7.627118644
1079,0.104477612,76,32,0.017111369,0.001703567,0.010140301,0.003142349,0.048247598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
1083,0.313432836,366,158,0.101218097,0.045701107,0.071531883,0.058903628,0.158863949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.063291139,5.696202532,10.12658228,10.75949367,31.64556962,31.64556962,0,0,0,0,0,0,0,0,0,0,0,0,5.063291139,10.12658228,10.75949367,31.64556962,31.64556962,47.46835443
1089,0.164179104,2054,856,0.590777262,0.137386224,0.05172947,0.122993111,0.263861247,0,0,0,0,54.08878505,100,100,100,100,0,0,0,0,0,0,21.14485981,77.57009346,100,0,3.154205607,3.271028037,3.271028037,5.957943925,8.411214953,13.43457944,13.55140187,14.36915888,0,0,0,0,0,0,0,0,18.45794393,2.336448598,3.271028037,8.411214953,13.43457944,14.36915888,17.40654206,21.37850467,28.27102804,31.07476636
1095,0.447761194,648,277,0.18300464,0.11798893,0.18130317,0.088057285,0.341903337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.07942238,32.85198556,38.62815884,45.84837545,49.45848375,53.79061372,65.34296029,65.70397112,0,0,0,0,0,0,0,0,0,0,14.44043321,38.62815884,49.45848375,59.20577617,65.70397112,65.70397112,70.03610108,70.39711191
1097,0.686567164,1935,824,0.556264501,0.545848708,0.189946909,0.613319235,0.202490303,0,0,0,0,0,10.9223301,69.53883495,100,100,0,0,0,0,56.18932039,100,100,100,100,0,4.733009709,7.645631068,8.859223301,16.62621359,28.39805825,31.06796117,35.19417476,41.62621359,0,0,0,0,56.18932039,100,100,100,100,0,4.733009709,4.733009709,8.737864078,8.859223301,15.65533981,25.72815534,28.51941748,34.10194175
1103,0.462686567,602,258,0.169663573,0.113204182,0.138401471,0.115208789,0.2294433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263565891,7.364341085,11.24031008,19.76744186,24.80620155,27.13178295,29.45736434,0,0,0,0,0,0,0,0,0,0,0,4.263565891,7.751937984,19.76744186,24.80620155,24.80620155,27.13178295,29.45736434
1111,0.47761194,119,49,0.029582367,0.021851169,0.14332729,0.019015885,0.230166185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.44897959,42.85714286,42.85714286,44.89795918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714286,42.85714286,42.85714286,44.89795918
1113,0.805970149,378,161,0.104698376,0.12396679,0.313003728,0.097421088,0.319933161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42236025,31.67701863,49.68944099,55.27950311,60.86956522,60.86956522,80.74534161,90.68322981,93.78881988,0,0,0,0,0,0,0,0,0,0,12.42236025,42.85714286,49.68944099,55.27950311,60.2484472,60.86956522,60.86956522,80.74534161
1115,0.044776119,439,188,0.122389791,0.006531365,0.009518307,0.004104824,0.227557488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.978723404,7.978723404,8.510638298,13.29787234,0,0,0,0,0,0,0,0,0,0,0,7.978723404,7.978723404,13.29787234,13.82978723,32.44680851,45.21276596,45.21276596
1117,0.014925373,980,418,0.279292343,0.004458795,0,0.002464365,0.201196022,0,0,0,0,0,0,0,0,63.15789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.827751196,6.459330144
1121,0.78358209,327,145,0.089907193,0.104012915,0.196486243,0.13259495,0.174222745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.896551724,7.586206897,20,20.68965517,29.65517241,34.48275862,67.5862069,0,0,0,0,0,0,0,0,100,0,0,6.896551724,6.896551724,6.896551724,13.10344828,13.10344828,20.68965517,26.20689655
2261,0.172413793,30,13,0.71958042,0.737864078,0.058237466,0.012467362,0.174712397,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,0,46.15384615,69.23076923,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,46.15384615,69.23076923,100,100,100,100
4021,0.266666667,1862,735,0.063323271,0.050861407,0.124299897,0.078109764,0.368700371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.353741497,16.59863946,16.59863946,22.31292517,28.57142857,30.06802721,32.38095238,40,0,0,0,0,0,0,0,0,0,0,6.258503401,13.46938776,16.59863946,17.95918367,24.08163265,29.93197279,30.6122449,32.5170068
5009,0.053333333,49,19,0.038590604,0.003892028,0.00517496,0.008982706,0.060903783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,21.05263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,15.78947368
5011,0.986666667,46,19,0.036073826,0.071019042,0.410824772,0.051002526,0.22729923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,47.36842105,52.63157895,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,47.36842105,100
5033,0.213333333,142,59,0.116610738,0.047332078,0.047132486,0.063042698,0.119929487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86440678,13.55932203,20.33898305,27.11864407,44.06779661,57.62711864,0,0,0,0,0,0,0,0,0,0,0,0,13.55932203,13.55932203,27.11864407,42.37288136,49.15254237,57.62711864
