County_FIPS,SVI_county,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_low,percentage_scenario_high_demand_base_case_capacity_mid,percentage_scenario_high_demand_base_case_capacity_high,percentage_scenario_SVI_hotspot_base_case_capacity_low,percentage_scenario_SVI_hotspot_base_case_capacity_mid,percentage_scenario_SVI_hotspot_base_case_capacity_high,percentage_scenario_SVI_pop_base_case_capacity_low,percentage_scenario_SVI_pop_base_case_capacity_mid,percentage_scenario_SVI_pop_base_case_capacity_high,percentage_scenario_hotspot_base_case_capacity_low,percentage_scenario_hotspot_base_case_capacity_mid,percentage_scenario_hotspot_base_case_capacity_high
35039,0.030303030303030304,0.0011360767482958849,0.00038463848939573615,0.00017924609813960024,0.012436644490462135,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0
1001,0.1044776119402985,0.0053016914920474625,0.004406842402305618,0.0008709133782950802,0.041327660566499586,57.14285714285714,95.23809523809523,100.0,59.523809523809526,100.0,100.0,0.0,92.85714285714286,100.0,59.523809523809526,100.0,100.0
1009,0.07462686567164178,0.0013885382479171926,0.0007894421540592907,0.0006494340258097285,0.010364817291376427,72.72727272727273,100.0,100.0,90.9090909090909,100.0,100.0,0.0,72.72727272727273,100.0,90.9090909090909,100.0,100.0
1013,0.7611940298507462,0.005049229992426155,0.08429016607452097,0.00230316908401586,0.10849708641677794,47.5,87.5,100.0,47.5,95.0,100.0,0.0,100.0,100.0,47.5,95.0,100.0
1015,0.6865671641791045,0.002145922746781116,0.005621578023332653,0.011943432673107142,0.008022537455783688,64.70588235294117,100.0,100.0,64.70588235294117,100.0,100.0,100.0,100.0,100.0,64.70588235294117,100.0,100.0
1017,0.5223880597014925,0.003281999495077001,0.02225922372966492,0.0026700679329229667,0.04174969553220558,57.692307692307686,100.0,100.0,73.07692307692307,100.0,100.0,0.0,100.0,100.0,73.07692307692307,100.0,100.0
1031,0.22388059701492538,0.002145922746781116,0.004113804826768159,0.0017347674516711008,0.018003782874859438,41.17647058823529,100.0,100.0,41.17647058823529,100.0,100.0,0.0,100.0,100.0,41.17647058823529,100.0,100.0
1033,0.08955223880597014,0.00391315324413027,0.0028240706295186687,0.0007368413852397765,0.03089837545663608,38.70967741935484,96.7741935483871,100.0,38.70967741935484,96.7741935483871,100.0,0.0,74.19354838709677,100.0,38.70967741935484,96.7741935483871,100.0
1039,0.6268656716417911,0.0012623074981065387,0.009303927628912982,0.0035382354111571693,0.014542141813445278,30.0,100.0,100.0,40.0,100.0,100.0,0.0,100.0,100.0,40.0,100.0,100.0
1043,0.16417910447761194,0.006942691239585963,0.0060814369866026745,0.0020418561595739633,0.03629316710370136,56.36363636363636,98.18181818181819,100.0,63.63636363636363,100.0,100.0,0.0,100.0,100.0,63.63636363636363,100.0,100.0
1045,0.582089552238806,0.0025246149962130774,0.013102782926397244,0.004332793011191784,0.022055163490975315,55.00000000000001,95.0,100.0,55.00000000000001,100.0,100.0,0.0,100.0,100.0,55.00000000000001,100.0,100.0
1051,0.208955223880597,0.008962383236556425,0.010127108088129234,0.0025641684293388834,0.047486345934164426,56.33802816901409,90.14084507042254,100.0,56.33802816901409,100.0,100.0,0.0,100.0,100.0,56.33802816901409,100.0,100.0
1055,0.34328358208955223,0.0023983842464024236,0.003512535796260061,0.0053404242385540176,0.010025458998635986,36.84210526315789,94.73684210526315,100.0,36.84210526315789,100.0,100.0,100.0,100.0,100.0,36.84210526315789,100.0,100.0
1067,0.2537313432835821,0.0012623074981065387,0.008214156425885124,0.0006559379725702611,0.031719431141905785,50.0,100.0,100.0,50.0,100.0,100.0,0.0,50.0,100.0,50.0,100.0,100.0
1069,0.40298507462686567,0.004291845493562232,0.007278823204529162,0.006355398631613626,0.01769737074681445,76.47058823529412,100.0,100.0,79.41176470588235,100.0,100.0,100.0,100.0,100.0,79.41176470588235,100.0,100.0
1071,0.2835820895522388,0.0015147689977278464,0.003621315872122946,0.0022321310057840165,0.012511925493315805,83.33333333333334,100.0,100.0,83.33333333333334,100.0,100.0,0.0,100.0,100.0,83.33333333333334,100.0,100.0
1077,0.11940298507462686,0.002777076495834385,0.001572864475956073,0.0016701566173937343,0.01290662402681631,22.727272727272727,100.0,100.0,27.27272727272727,100.0,100.0,0.0,100.0,100.0,27.27272727272727,100.0,100.0
1079,0.14925373134328357,0.0006311537490532694,0.0012471845059279002,0.0007475346587898713,0.008187325357601439,60.0,100.0,100.0,60.0,100.0,100.0,0.0,60.0,100.0,60.0,100.0,100.0
1083,0.19402985074626866,0.0035344609946983086,0.003236644035075638,0.0027281951241237565,0.01634417217090643,67.85714285714286,96.42857142857143,100.0,71.42857142857143,100.0,100.0,0.0,100.0,100.0,71.42857142857143,100.0,100.0
1089,0.04477611940298507,0.005932845241100732,0.0003262792466553835,0.0024191369588771744,0.007139693010145918,34.04255319148936,78.72340425531915,100.0,38.297872340425535,85.1063829787234,100.0,0.0,100.0,100.0,38.297872340425535,85.1063829787234,100.0
1095,0.4925373134328358,0.005427922241858117,0.012340015120555926,0.007082453250389603,0.024547829283285267,69.76744186046511,100.0,100.0,69.76744186046511,100.0,100.0,100.0,100.0,100.0,69.76744186046511,100.0,100.0
1097,0.5671641791044776,0.02474122696288816,0.014861677704774713,0.0355465419746195,0.025674121053516973,58.673469387755105,97.44897959183673,100.0,52.55102040816326,96.93877551020408,100.0,100.0,100.0,100.0,52.55102040816326,96.93877551020408,100.0
