County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
35039,0.21212121212121213,38.0,15.0,0.5304347826086957,0.25178272313950706,0.044908325195551387,0.02772812501908634,0.1668023507263337,-0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,-0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,40.0,86.66666666666667,100.0,100.0,100.0,-0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,46.666666666666664,86.66666666666667,100.0,100.0,100.0
1001,0.208955223880597,175.0,73.0,0.061672342035565646,0.01821756751334216,0.052253861191051354,0.020649058111263937,0.19227431619703883,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91780821917808,38.35616438356164,45.20547945205479,46.57534246575342,46.57534246575342,46.57534246575342,57.534246575342465,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54794520547945,21.91780821917808,45.20547945205479,46.57534246575342,46.57534246575342,46.57534246575342,57.534246575342465,58.9041095890411
1009,0.07462686567164178,132.0,60.0,0.04540295119182747,0.0038521728662573728,0.011612528488755438,0.00495674157074138,0.13141645601450685,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11.666666666666666,13.333333333333334,40.0,50.0,61.66666666666667,63.33333333333333,63.33333333333333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11.666666666666666,20.0,50.0,61.66666666666667,61.66666666666667,63.33333333333333,68.33333333333333
1013,0.7313432835820896,55.0,21.0,0.016269390843738175,0.02018378074716103,0.15262274297866577,0.027398624380589456,0.13310978988274436,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,14.285714285714285,19.047619047619047,28.57142857142857,33.33333333333333,33.33333333333333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,14.285714285714285,19.047619047619047,28.57142857142857,28.57142857142857
1015,0.7164179104477612,288.0,122.0,0.10442678774120318,0.10949801372336583,0.15107349506177453,0.17453314568940007,0.13554685755183768,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,11.475409836065573,12.295081967213115,18.0327868852459,29.508196721311474,45.90163934426229,48.36065573770492,56.557377049180324,64.75409836065575,-0.0,-0.0,-0.0,-0.0,100.0,100.0,100.0,100.0,11.475409836065573,12.295081967213115,12.295081967213115,18.0327868852459,29.508196721311474,40.98360655737705,48.36065573770492,50.0
1017,0.3880597014925373,107.0,40.0,0.03594400302686341,0.02088198707917018,0.0896001637302503,0.024103618415193744,0.16203203444501432,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,17.5,20.0,45.0,45.0,45.0,65.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,17.5,30.0,30.0,45.0,45.0,65.0
1031,0.291044776119403,84.0,35.0,0.02724177071509648,0.011700975081256771,0.03635397560749587,0.02801038427692545,0.053956763636038525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,25.71428571428571,31.428571428571427,31.428571428571427,34.285714285714285,34.285714285714285,37.142857142857146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,17.142857142857142,25.71428571428571,31.428571428571427,31.428571428571427,34.285714285714285,34.285714285714285
1033,0.05970149253731343,161.0,70.0,0.05637533106318578,0.003723767104048794,0.0114104506332431,0.0026819507222885976,0.18407474199554497,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.428571428571429,11.428571428571429,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,10.0,11.428571428571429,17.142857142857142,24.285714285714285
1039,0.5223880597014925,148.0,60.0,0.051456678017404466,0.040126800690180965,0.16739391207404145,0.03795764358546545,0.25363109269665857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,10.0,20.0,21.666666666666668,21.666666666666668,46.666666666666664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,10.0,11.666666666666666,21.666666666666668,21.666666666666668,46.666666666666664
1043,0.1791044776119403,267.0,122.0,0.09648127128263337,0.02426868905742145,0.0500287819171361,0.027610122124645902,0.22678301855964333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,7.377049180327869,8.19672131147541,13.114754098360656,27.86885245901639,35.24590163934426,38.52459016393443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,7.377049180327869,8.19672131147541,20.491803278688526,27.86885245901639,35.24590163934426,45.08196721311475,59.83606557377049
1045,0.5671641791044776,162.0,66.0,0.056753688989784334,0.04795955218490429,0.15119656677374096,0.0562351484444731,0.19605655429013147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,19.696969696969695,19.696969696969695,21.21212121212121,40.909090909090914,51.515151515151516,53.03030303030303,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,19.696969696969695,19.696969696969695,19.696969696969695,33.33333333333333,42.42424242424242,51.515151515151516
1051,0.291044776119403,270.0,107.0,0.09761634506242906,0.04080895630191405,0.0741696517178364,0.04690683820684887,0.19121010139900432,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.411214953271028,37.38317757009346,45.794392523364486,45.794392523364486,45.794392523364486,45.794392523364486,56.074766355140184,56.074766355140184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.411214953271028,45.794392523364486,45.794392523364486,45.794392523364486,45.794392523364486,56.074766355140184,56.074766355140184,57.009345794392516
1055,0.3283582089552239,451.0,194.0,0.16609912977676883,0.0781830584647486,0.12231990639806159,0.06896089419342026,0.31375814761759785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,10.309278350515463,13.917525773195877,18.04123711340206,24.742268041237114,30.927835051546392,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3.0927835051546393,10.309278350515463,17.525773195876287,18.04123711340206,30.927835051546392,38.659793814432994,51.546391752577314
1067,0.23880597014925373,27.0,12.0,0.0056753688989784334,0.002022390754785121,0.02995750817805516,0.004495565736549394,0.057922323108764676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,0.43283582089552236,207.0,89.0,0.07377979568671963,0.04673167208378475,0.07124321393385119,0.09362267753229443,0.0907946783578861,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.98876404494382,13.48314606741573,13.48314606741573,29.213483146067414,35.95505617977528,51.68539325842697,58.42696629213483,62.92134831460674,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,8.98876404494382,13.48314606741573,13.48314606741573,13.48314606741573,29.213483146067414,37.07865168539326,51.68539325842697,58.42696629213483
1071,0.14925373134328357,205.0,87.0,0.0730230798335225,0.01500742345812768,0.046715274004699964,0.012492907166836322,0.2673917456847295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10.344827586206897,11.494252873563218,31.03448275862069,32.18390804597701,32.18390804597701,47.12643678160919,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11.494252873563218,31.03448275862069,32.18390804597701,32.18390804597701,55.172413793103445,60.91954022988506,73.5632183908046
1077,0.11940298507462686,157.0,66.0,0.054861899356791526,0.008635287508526943,0.0131349500569264,0.019608894654045583,0.0605345356125855,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,7.575757575757576,7.575757575757576,12.121212121212121,13.636363636363635,16.666666666666664,16.666666666666664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,7.575757575757576,7.575757575757576,7.575757575757576,12.121212121212121,16.666666666666664,16.666666666666664
1079,0.1044776119402985,47.0,22.0,0.01324252743094968,0.0011957786605673929,0.009897566582187114,0.0031423493484179048,0.04980947991012819,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,22.727272727272727,27.27272727272727,27.27272727272727,45.45454545454545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,13.636363636363635,27.27272727272727,27.27272727272727,40.909090909090914
1083,0.31343283582089554,258.0,106.0,0.09307604994324631,0.04203683640303359,0.0687654294736177,0.058903627560341947,0.15265855482613597,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4.716981132075472,10.377358490566039,16.9811320754717,32.075471698113205,48.113207547169814,48.113207547169814,54.71698113207547,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4.716981132075472,10.377358490566039,31.132075471698112,32.075471698113205,48.113207547169814,48.113207547169814,54.71698113207547
1089,0.16417910447761194,1489.0,654.0,0.5588346575860764,0.13000280887604831,0.0571551884217285,0.1229931111515691,0.30175393565301434,0.0,-0.0,51.8348623853211,100.0,100.0,100.0,100.0,100.0,0.0,-0.0,-0.0,-0.0,20.642201834862387,94.4954128440367,100.0,100.0,3.211009174311927,3.211009174311927,8.409785932721713,13.455657492354739,14.37308868501529,20.18348623853211,28.287461773700308,31.039755351681958,0.0,-0.0,-0.0,-0.0,-0.0,35.16819571865443,100.0,100.0,3.211009174311927,13.455657492354739,14.37308868501529,21.406727828746178,28.287461773700308,31.95718654434251,44.18960244648318,48.47094801223242
1095,0.44776119402985076,517.0,210.0,0.19107075293227394,0.12302877091609486,0.1979013590614888,0.0880572848974678,0.38346254082684794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,100.0,20.0,38.57142857142858,45.714285714285715,50.0,65.71428571428571,65.71428571428571,70.47619047619048,70.47619047619048,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,83.80952380952381,38.095238095238095,45.714285714285715,53.80952380952381,65.71428571428571,70.0,70.47619047619048,80.0,80.47619047619048
