County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
28087,9,19,0.032425975,Lowndes,MS,25.85971499,47.36842105,100,100
28089,25,126,0.118563686,Madison,MS,34.3597561,19.84126984,56.34920635,100
28091,7,10,0.040695072,Marion,MS,38.04989216,70,100,100
28093,4,7,0.019833399,Marshall,MS,13.69297898,57.14285714,100,100
28095,8,23,0.065244525,Monroe,MS,41.74344718,34.7826087,95.65217391,100
28097,12,23,0.235294118,Montgomery,MS,209.7411765,52.17391304,100,100
28099,53,73,0.250704032,Neshoba,MS,242.8068549,72.60273973,100,100
28101,24,34,0.161766105,Newton,MS,149.0351128,70.58823529,100,100
28103,21,21,0.201593549,Noxubee,MS,198.7712393,100,100,100
28105,14,22,0.044366467,Oktibbeha,MS,28.48327183,63.63636364,100,100
28107,2,3,0.008773982,Panola,MS,7.837798315,66.66666667,100,100
28109,5,14,0.025209327,Pearl River,MS,17.77509679,35.71428571,85.71428571,100
28111,2,4,0.033408502,Perry,MS,23.67326485,50,100,100
28113,12,14,0.03563429,Pike,MS,35.21380574,85.71428571,100,100
28115,2,3,0.009324299,Pontotoc,MS,8.356436874,66.66666667,100,100
28117,2,3,0.011939823,Prentiss,MS,10.16437157,66.66666667,100,100
28119,1,2,0.029446408,Quitman,MS,28.106596,50,100,100
28121,6,35,0.022541234,Rankin,MS,7.048643984,17.14285714,74.28571429,100
28123,68,82,0.291565922,Scott,MS,287.1924335,82.92682927,100,100
28125,0,0,0,Sharkey,MS,0,100,100,100
28127,8,10,0.037512191,Simpson,MS,34.03481131,80,100,100
28129,6,17,0.106810756,Smith,MS,50.54284996,35.29411765,100,100
28131,1,2,0.010907504,Stone,MS,6.593586387,50,100,100
28133,4,5,0.019912386,Sunflower,MS,18.9048188,80,100,100
28135,1,1,0.007241654,Tallahatchie,MS,7.050474328,100,100,100
28137,5,7,0.024716641,Tate,MS,21.37989478,71.42857143,100,100
28139,7,7,0.031796502,Tippah,MS,27.49125596,100,100,100
28141,2,2,0.01031832,Tishomingo,MS,6.870969406,100,100,100
28143,2,2,0.02076412,Tunica,MS,20.18272425,100,100,100
28145,10,16,0.055526635,Union,MS,45.95939615,62.5,100,100
28147,5,6,0.04199916,Walthall,MS,36.16547669,83.33333333,100,100
28149,13,30,0.066106961,Warren,MS,56.88503999,43.33333333,100,100
28151,3,5,0.011387187,Washington,MS,11.14008518,60,100,100
28153,2,4,0.019818659,Wayne,MS,17.83084774,50,100,100
28155,0,3,0.030962948,Webster,MS,18.4601094,0,100,100
28157,5,5,0.057937428,Wilkinson,MS,53.12282735,100,100,100
28159,6,13,0.07240323,Winston,MS,67.37844612,46.15384615,100,100
28161,7,10,0.082590023,Yalobusha,MS,60.67888999,70,100,100
28163,16,19,0.063994611,Yazoo,MS,63.68743685,84.21052632,94.73684211,100
29001,0,0,0,Adair,MO,0,100,100,100
29003,3,3,0.016937669,Andrew,MO,0.550474255,100,100,100
29005,0,0,0,Atchison,MO,0,100,100,100
29007,1,1,0.003938869,Audrain,MO,2.422404285,100,100,100
29009,0,0,0,Barry,MO,0,100,100,100
29011,0,0,0,Barton,MO,0,100,100,100
29013,0,0,0,Bates,MO,0,100,100,100
29015,2,2,0.010286478,Benton,MO,5.670935555,100,100,100
29017,0,0,0,Bollinger,MO,0,100,100,100
29019,1,1,0.00055413,Boone,MO,0.162193912,100,100,100
29021,159,159,0.181997161,Buchanan,MO,130.7103612,100,100,100
29023,1,1,0.00235416,Butler,MO,1.923819389,100,100,100
29025,0,0,0,Caldwell,MO,0,100,100,100
29027,1,1,0.002234986,Callaway,MO,0.72234763,100,100,100
29029,1,1,0.002159594,Camden,MO,0.726271461,100,100,100
29031,2,2,0.002535786,Cape Girardeau,MO,1.044236792,100,100,100
29033,0,0,0,Carroll,MO,0,100,100,100
29035,0,0,0,Carter,MO,0,100,100,100
29037,5,5,0.004726791,Cass,MO,0.561542825,100,100,100
29039,2,2,0.013938254,Cedar,MO,8.935814342,100,100,100
29041,1,1,0.0134662,Chariton,MO,2.555884729,100,100,100
29043,1,1,0.001128732,Christian,MO,0.168971161,100,100,100
29045,0,0,0,Clark,MO,0,100,100,100
29047,13,13,0.005201082,Clay,MO,0.708907453,100,100,100
29049,2,2,0.009810173,Clinton,MO,1.611811448,100,100,100
29051,3,3,0.003909049,Cole,MO,1.009707473,100,100,100
29053,1,1,0.005646846,Cooper,MO,2.197752555,100,100,100
29055,1,1,0.004180602,Crawford,MO,3.158026756,100,100,100
29057,0,0,0,Dade,MO,0,100,100,100
29059,0,0,0,Dallas,MO,0,100,100,100
29061,1,1,0.012080213,Daviess,MO,5.686156076,100,100,100
29063,1,1,0.007970033,DeKalb,MO,3.231051247,100,100,100
29065,0,0,0,Dent,MO,0,100,100,100
29067,0,0,0,Douglas,MO,0,100,100,100
29069,2,2,0.006865538,Dunklin,MO,6.577185816,100,100,100
29071,13,13,0.012503968,Franklin,MO,1.824328874,100,100,100
29073,1,1,0.006799946,Gasconade,MO,0.580715354,100,100,100
29075,0,0,0,Gentry,MO,0,100,100,100
29077,5,5,0.001705984,Greene,MO,0.749779928,100,100,100
29079,0,0,0,Grundy,MO,0,100,100,100
29081,0,0,0,Harrison,MO,0,100,100,100
29083,1,1,0.004582111,Henry,MO,2.730480205,100,100,100
29085,0,0,0,Hickory,MO,0,100,100,100
29087,0,0,0,Holt,MO,0,100,100,100
29089,1,1,0.009999,Howard,MO,4.04059594,100,100,100
29091,0,0,0,Howell,MO,0,100,100,100
29093,0,0,0,Iron,MO,0,100,100,100
29095,41,41,0.005832057,Jackson,MO,3.122483147,100,100,100
29097,0,0,0,Jasper,MO,0,100,100,100
29099,18,18,0.007997121,Jefferson,MO,1.489863649,100,100,100
29101,4,4,0.007398912,Johnson,MO,2.594058673,100,100,100
29103,0,0,0,Knox,MO,0,100,100,100
29105,2,2,0.005598634,Laclede,MO,3.458836044,100,100,100
29107,13,13,0.039745628,Lafayette,MO,15.42925278,100,100,100
29109,4,4,0.010428888,Lawrence,MO,8.203363316,100,100,100
